absoluto	adjective	absolute, unconditional	no me gustó en absoluto	I did not like it at all
cocina	feminine noun	kitchen	no sentence available	no sentence available
cola	feminine noun	tail	cola de caballo	ponytail
colección	feminine noun	collection	no sentence available	no sentence available
comparación	feminine noun	comparison	no sentence available	no sentence available
competencia	feminine noun	competition, rivalry	no sentence available	no sentence available
composición	feminine noun	composition, work	no sentence available	no sentence available
comprensión	feminine noun	comprehension, understanding	no sentence available	no sentence available
concentración	feminine noun	concentration	no sentence available	no sentence available
confusión	feminine noun	confusion	no sentence available	no sentence available
continuación	feminine noun	continuation	más detalles a continuación	more details below
cualidad	feminine noun	quality, trait	no sentence available	no sentence available
curiosidad	feminine noun	curiosity	no sentence available	no sentence available
declaración	feminine noun	declaration, statement	hacer una declaración	to issue a statement
definición	feminine noun	definition	no sentence available	no sentence available
demanda	feminine noun	demand	la oferta y la demanda	supply and demand
desgracia	feminine noun	misfortune	no sentence available	no sentence available
dimensión	feminine noun	dimension	no sentence available	no sentence available
división	feminine noun	division	no sentence available	no sentence available
economía	feminine noun	economy	no sentence available	no sentence available
emoción	feminine noun	emotion	no sentence available	no sentence available
enseñanza	feminine noun	education	no sentence available	no sentence available
escala	feminine noun	scale	en escala de 1 a 10	on a scale of 1 to 10
esencia	feminine noun	essence	no sentence available	no sentence available
espera	feminine noun	wait	no sentence available	no sentence available
esquina	feminine noun	corner	no sentence available	no sentence available
evolución	feminine noun	evolution	no sentence available	no sentence available
exigencia	feminine noun	demand, requirement	no sentence available	no sentence available
exposición	feminine noun	exposition, exhibition	no sentence available	no sentence available
fama	feminine noun	fame	no sentence available	no sentence available
felicidad	feminine noun	happiness	no sentence available	no sentence available
fila	feminine noun	line, file	ponerse en fila	to get in line
filosofía	feminine noun	philosophy	no sentence available	no sentence available
firma	feminine noun	signature	no sentence available	no sentence available
fórmula	feminine noun	formula	no sentence available	no sentence available
fortuna	feminine noun	fortune, luck	no sentence available	no sentence available
fruta	feminine noun	fruit	no sentence available	no sentence available
habilidad	feminine noun	ability, skill	no sentence available	no sentence available
habitación	feminine noun	room	no sentence available	no sentence available
humanidad	feminine noun	humanity, mankind	no sentence available	no sentence available
identidad	feminine noun	identity	no sentence available	no sentence available
imaginación	feminine noun	imagination	no sentence available	no sentence available
independencia	feminine noun	independence	no sentence available	no sentence available
industria	feminine noun	industry	no sentence available	no sentence available
infancia	feminine noun	infancy, childhood	no sentence available	no sentence available
iniciativa	feminine noun	initiative	no sentence available	no sentence available
instrucción	feminine noun	education, training	no sentence available	no sentence available
intervención	feminine noun	intervention	no sentence available	no sentence available
lección	feminine noun	lesson	no sentence available	no sentence available
llegada	feminine noun	arrival	no sentence available	no sentence available
manifestación	feminine noun	manifestation, sign	no sentence available	no sentence available
medicina	feminine noun	medicine	no sentence available	no sentence available
mentira	feminine noun	lie	no sentence available	no sentence available
mezcla	feminine noun	mixing	no sentence available	no sentence available
miseria	feminine noun	poverty	no sentence available	no sentence available
muestra	feminine noun	sample	una muestra de respeto	a show of respect
nación	feminine noun	nation, country, people (of a country)	no sentence available	no sentence available
novedad	feminine noun	newness, novelty	no sentence available	no sentence available
nube	feminine noun	cloud	andar en las nubes	to have one's head in the clouds
observación	feminine noun	observation, watching	bajo/en observación	under observation
oposición	feminine noun	opposition	no sentence available	no sentence available
playa	feminine noun	beach, seashore	no sentence available	no sentence available
pobreza	feminine noun	poverty	no sentence available	no sentence available
poesía	feminine noun	poetry	no sentence available	no sentence available
postura	feminine noun	posture, position (of the body)	no sentence available	no sentence available
potencia	feminine noun	power	potencias extranjeras	foreign powers
precisión	feminine noun	precision, accuracy	tener precisión de	to have need of
presentación	feminine noun	presentation	no sentence available	no sentence available
producción	feminine noun	production (action or quantity)	no sentence available	no sentence available
protección	feminine noun	protection	no sentence available	no sentence available
provincia	feminine noun	province	no sentence available	no sentence available
rapidez	feminine noun	rapidity, speed	no sentence available	no sentence available
raza	feminine noun	race	raza humana	human race
red	feminine noun	net, mesh	redes sociales	social media
reflexión	feminine noun	reflection, thought	no sentence available	no sentence available
reserva	feminine noun	reservation	con la mayor reserva	in strictest confidence
rosa	adjective	rose-colored, pink	no sentence available	no sentence available
sección	feminine noun	section	sección transversal	cross section
sensibilidad	feminine noun	sensitivity, sensibility	no sentence available	no sentence available
sesión	feminine noun	session (of a legislature, etc.), meeting	sesión de tarde	afternoon showing
tabla	feminine noun	table, list	tabla de multiplicar	multiplication table
tela	feminine noun	fabric, cloth, material	no sentence available	no sentence available
temperatura	feminine noun	temperature	no sentence available	no sentence available
temporada	feminine noun	season, time	temporada de béisbol	baseball season
tensión	feminine noun	tension, tautness	de alta tensión	high-tension
tienda	feminine noun	store, shop	no sentence available	no sentence available
tragedia	feminine noun	tragedy	no sentence available	no sentence available
tranquilidad	feminine noun	tranquility, peace	no sentence available	no sentence available
versión	feminine noun	version	no sentence available	no sentence available
víctima	feminine noun	victim	no sentence available	no sentence available
victoria	feminine noun	victory	no sentence available	no sentence available
vivienda	feminine noun	housing	no sentence available	no sentence available
vocación	feminine noun	vocation	no sentence available	no sentence available
área	feminine noun	area	no sentence available	no sentence available
abril	masculine noun	April	el dos de abril	(on) April second
abuelo	masculine noun	grandfather	no sentence available	no sentence available
actor	masculine noun	actor	no sentence available	no sentence available
ámbito	masculine noun	domain, field, area	no sentence available	no sentence available
aumento	masculine noun	increase, rise	no sentence available	no sentence available
automóvil	masculine noun	automobile	no sentence available	no sentence available
avance	masculine noun	advance	no sentence available	no sentence available
baño	masculine noun	bath	darse un baño	to take a bath
borde	masculine noun	edge (of a table, etc.), rim (of a glass, etc.)	no sentence available	no sentence available
bosque	masculine noun	woods, forest	bosque tropical	rain forest
caballero	masculine noun	gentleman	caballero andante	knight errant
cálculo	masculine noun	calculation, estimation	no sentence available	no sentence available
canal	masculine noun	canal	no sentence available	no sentence available
canto	masculine noun	singing	canto gregoriano	Gregorian chant
carro	masculine noun	car	no sentence available	no sentence available
castigo	masculine noun	punishment	no sentence available	no sentence available
cerebro	masculine noun	brain	no sentence available	no sentence available
clima	masculine noun	climate	no sentence available	no sentence available
comercio	masculine noun	commerce, trade	no sentence available	no sentence available
continente	masculine noun	continent	no sentence available	no sentence available
contrato	masculine noun	contract	no sentence available	no sentence available
crecimiento	masculine noun	growth	no sentence available	no sentence available
crédito	masculine noun	credit	no sentence available	no sentence available
crimen	masculine noun	crime	no sentence available	no sentence available
cuello	masculine noun	neck	cuello en V	V-neck
desastre	masculine noun	disaster	no sentence available	no sentence available
descanso	masculine noun	rest, relaxation	no sentence available	no sentence available
descubrimiento	masculine noun	discovery	no sentence available	no sentence available
dibujo	masculine noun	drawing	dibujo lineal	line drawing
diente	masculine noun	tooth	diente canino	eyetooth, canine tooth
disco	masculine noun	record	parecer un disco rayado	to sound like a broken record
dólar	masculine noun	dollar	no sentence available	no sentence available
dominio	masculine noun	dominion, power	dominio de/sobre sí mismo	self-control
ensayo	masculine noun	essay	no sentence available	no sentence available
entusiasmo	masculine noun	enthusiasm	no sentence available	no sentence available
escenario	masculine noun	stage	el escenario del crimen	the scene of the crime
espejo	masculine noun	mirror	no sentence available	no sentence available
factor	noun	agent, factor	no sentence available	no sentence available
febrero	masculine noun	February	el primero de febrero	(on) February first
funcionario	noun	civil servant, official	no sentence available	no sentence available
género	masculine noun	genre, class, kind	el género humano	the human race, mankind
grito	masculine noun	shout, scream, cry	a grito pelado	at the top of one's voice
hábito	masculine noun	habit, custom	no sentence available	no sentence available
hierro	masculine noun	iron	hierro fundido	cast iron
hilo	masculine noun	thread	colgar de un hilo	to hang by a thread
hombro	masculine noun	shoulder	encogerse de hombros	to shrug one's shoulders
hotel	masculine noun	hotel	no sentence available	no sentence available
hueso	masculine noun	bone	no sentence available	no sentence available
huevo	masculine noun	egg	huevos revueltos	scrambled eggs
humor	masculine noun	humor	está de buen humor	she's in a good mood
impulso	masculine noun	drive, thrust	no sentence available	no sentence available
índice	masculine noun	index	no sentence available	no sentence available
informe	adjective	shapeless, formless	no sentence available	no sentence available
ingreso	masculine noun	entrance, entry	no sentence available	no sentence available
jardín	masculine noun	garden	no sentence available	no sentence available
julio	masculine noun	July	el primero de julio	(on) July first
largo	masculine noun	length	tres metros de largo	three meters long
lector	adjective	reading	nivel lector	reading level
llamado	adjective	named, called	una mujer llamada Rosa	a woman called Rosa
lujo	masculine noun	luxury	no sentence available	no sentence available
mal	adverb	badly, poorly	baila muy mal	he dances very badly
mecanismo	masculine noun	mechanism	no sentence available	no sentence available
mérito	masculine noun	merit	no sentence available	no sentence available
monte	masculine noun	mountain, mount	monte bajo	underbrush
montón	masculine noun	heap, pile	un montón de preguntas	a ton of questions
motor	adjective	motor	no sentence available	no sentence available
muchacho	noun	kid, boy	no sentence available	no sentence available
mueble	masculine noun	piece of furniture	no sentence available	no sentence available
muro	masculine noun	wall	no sentence available	no sentence available
octubre	masculine noun	October	el primero de octubre	(on) October first
oficio	masculine noun	trade, profession	es electricista de oficio	he's an electrician by trade
oído	masculine noun	ear	oído interno	inner ear
olor	masculine noun	smell, odor	no sentence available	no sentence available
órgano	masculine noun	organ	no sentence available	no sentence available
pago	masculine noun	payment	no sentence available	no sentence available
paisaje	masculine noun	scenery, landscape	no sentence available	no sentence available
pájaro	masculine noun	bird	pájaro cantor	songbird
palacio	masculine noun	palace, mansion	no sentence available	no sentence available
parque	masculine noun	park	no sentence available	no sentence available
patio	masculine noun	courtyard, patio	no sentence available	no sentence available
patrón	noun	boss	no sentence available	no sentence available
pecho	masculine noun	chest	no sentence available	no sentence available
permiso	masculine noun	permission	dar permiso	to give permission
plato	masculine noun	plate, dish	lavar los platos	to do the dishes
poema	masculine noun	poem	no sentence available	no sentence available
polvo	masculine noun	dust	quitar/limpiar el polvo	to dust
prestigio	masculine noun	prestige	no sentence available	no sentence available
primo	adjective	prime (of a number)	materia prima	raw material
privilegio	masculine noun	privilege	no sentence available	no sentence available
procedimiento	masculine noun	procedure, process	no sentence available	no sentence available
progreso	masculine noun	progress	hacer progresos	to make progress
reconocimiento	masculine noun	acknowledgment, recognition, avowal	no sentence available	no sentence available
reflejo	masculine noun	reflection	no sentence available	no sentence available
regreso	masculine noun	return	no sentence available	no sentence available
reloj	masculine noun	clock	no sentence available	no sentence available
revés	masculine noun	back, wrong side	no sentence available	no sentence available
sábado	masculine noun	Saturday	el sábado	(on) Saturday
sacerdote	noun	priest	no sentence available	no sentence available
sacrificio	masculine noun	sacrifice	no sentence available	no sentence available
salón	masculine noun	hall, large room	salón de clase	classroom
seno	masculine noun	breast, bosom	los senos	the breasts
sexo	masculine noun	sex	no sentence available	no sentence available
significado	masculine noun	sense, meaning	no sentence available	no sentence available
símbolo	masculine noun	symbol	no sentence available	no sentence available
sueldo	masculine noun	salary, wage	no sentence available	no sentence available
testigo	masculine or feminine noun	witness	no sentence available	no sentence available
tío	noun	uncle	no sentence available	no sentence available
tiro	masculine noun	shot, gunshot	pegarle un tiro a alguien	to shoot someone
traje	masculine noun	suit	no sentence available	no sentence available
transporte	masculine noun	transport, transportation	transporte público	public transit, mass transit
triunfo	masculine noun	triumph, victory	no sentence available	no sentence available
valle	masculine noun	valley, vale	no sentence available	no sentence available
vuelo	masculine noun	flight, flying	alzar el vuelo	to take flight
zapato	masculine noun	shoe	no sentence available	no sentence available
abogado	noun	lawyer, attorney	no sentence available	no sentence available
ingeniero	noun	engineer	no sentence available	no sentence available
ministro	noun	minister, secretary	primer ministro, primera ministra	prime minister
soldado	masculine noun	soldier	no sentence available	no sentence available
setenta	adjective & masculine noun	seventy	no sentence available	no sentence available
conmigo	pronoun	with me	habló conmigo	he talked with me
ti	pronoun	you	es para ti	it's for you
aconsejar	transitive verb	to advise, to counsel	no sentence available	no sentence available
acostumbrar	transitive verb	to accustom	no sentence available	no sentence available
acusar	transitive verb	to accuse, to charge	sus ojos acusaban la desconfianza	his eyes revealed distrust
adelantar	transitive verb	to advance, to move forward	adelantar el reloj	to set one's watch/clock ahead
admirar	transitive verb	to admire	no sentence available	no sentence available
agotar	transitive verb	to exhaust, to use up	no sentence available	no sentence available
agradecer	transitive verb	to be grateful for	no sentence available	no sentence available
agregar	transitive verb	to add, to attach	no sentence available	no sentence available
aguantar	transitive verb	to bear, to tolerate	aguántame la puerta	hold the door for me
ajustar	transitive verb	to adjust (wages, settings, etc.)	no sentence available	no sentence available
alimentar	transitive verb	to feed, to nourish	no sentence available	no sentence available
alterar	transitive verb	to alter, to modify	no sentence available	no sentence available
ampliar	transitive verb	to expand, to extend	no sentence available	no sentence available
apartar	transitive verb	to move away, to put at a distance	no sentence available	no sentence available
aportar	transitive verb	to contribute, to provide	no sentence available	no sentence available
arrojar	transitive verb	to hurl, to cast, to throw	no sentence available	no sentence available
ascender	transitive verb	to ascend, to rise up	ascendió a gerente	she was promoted to manager
asociar	transitive verb	to associate, to connect	no sentence available	no sentence available
aspirar	intransitive verb	to aspire to	no sentence available	no sentence available
atribuir	transitive verb	to attribute, to ascribe	no sentence available	no sentence available
averiguar	transitive verb	to find out, to ascertain	no sentence available	no sentence available
borrar	transitive verb	to erase (on paper), to delete (on a computer)	no sentence available	no sentence available
captar	transitive verb	to catch, to grasp	no sentence available	no sentence available
carecer	intransitive verb	to lack	el cheque carecía de fondos	the check had insufficient funds
chocar	intransitive verb	to crash, to collide	le chocó	he was shocked
coger	transitive verb	to seize, to take hold of	no sentence available	no sentence available
colaborar	intransitive verb	to collaborate	no sentence available	no sentence available
combatir	transitive verb	to combat, to fight against	no sentence available	no sentence available
completar	transitive verb	to complete, to finish	no sentence available	no sentence available
complicar	transitive verb	to complicate	no sentence available	no sentence available
concebir	transitive verb	to conceive	no sentence available	no sentence available
confesar	verb	to confess	no sentence available	no sentence available
constar	intransitive verb	to be evident, to be on record	que conste	believe me, have no doubt
consultar	transitive verb	to consult	no sentence available	no sentence available
corregir	transitive verb	to correct, to edit (text), to grade (exams)	no sentence available	no sentence available
criar	transitive verb	to breed	no sentence available	no sentence available
criticar	transitive verb	to criticize	no sentence available	no sentence available
cultivar	transitive verb	to cultivate	no sentence available	no sentence available
deber	transitive verb	to owe	no sentence available	no sentence available
denominar	transitive verb	to designate, to name, to call	no sentence available	no sentence available
depositar	transitive verb	to deposit, to place	no sentence available	no sentence available
derivar	intransitive verb	to drift	no sentence available	no sentence available
descender	transitive verb	to descend, to go down	no sentence available	no sentence available
desconocer	transitive verb	to be unaware of	no sentence available	no sentence available
despedir	transitive verb	to see off, to show out	despedir un olor	to give off an odor
desplazar	transitive verb	to replace, to displace	no sentence available	no sentence available
desprender	transitive verb	to detach, to loosen, to unfasten	no sentence available	no sentence available
dictar	transitive verb	to dictate	no sentence available	no sentence available
disminuir	transitive verb	to reduce, to decrease, to lower	no sentence available	no sentence available
distribuir	transitive verb	to distribute	no sentence available	no sentence available
doblar	transitive verb	to double	doblar la esquina	to turn the corner
elaborar	transitive verb	to make, to produce	no sentence available	no sentence available
eliminar	transitive verb	to eliminate, to remove	no sentence available	no sentence available
emitir	transitive verb	to emit, to give off	no sentence available	no sentence available
empeñar	transitive verb	to pawn	no sentence available	no sentence available
empujar	intransitive verb	to push, to shove	no sentence available	no sentence available
encerrar	transitive verb	to lock (up), to shut away/up	la encerraron en una celda	they locked her in a cell
engañar	transitive verb	to trick, to deceive, to mislead	no sentence available	no sentence available
enterar	transitive verb	to inform	no sentence available	no sentence available
esconder	transitive verb	to hide, to conceal	no sentence available	no sentence available
examinar	transitive verb	to examine	no sentence available	no sentence available
explotar	transitive verb	to exploit	no sentence available	no sentence available
fallar	intransitive verb	to fail, to go wrong	no sentence available	no sentence available
forzar	transitive verb	to force, to compel	forzar los ojos	to strain one's eyes
gastar	transitive verb	to spend	gasta un bigote	he sports a mustache
golpear	transitive verb	to beat (up), to hit	no sentence available	no sentence available
gritar	verb	to shout, to scream, to cry	no sentence available	no sentence available
huir	intransitive verb	to escape, to flee	no sentence available	no sentence available
hundir	transitive verb	to sink	no sentence available	no sentence available
implicar	transitive verb	to involve, to implicate	no sentence available	no sentence available
impulsar	transitive verb	to propel, to drive	no sentence available	no sentence available
inclinar	transitive verb	to tilt, to lean, to incline	inclinar la cabeza	to bow one's head
ingresar	transitive verb	to admit	ingresaron a Luis al hospital	Luis was admitted into the hospital
invadir	transitive verb	to invade	no sentence available	no sentence available
invertir	transitive verb	to invert, to reverse	no sentence available	no sentence available
investigar	transitive verb	to investigate	no sentence available	no sentence available
lavar	transitive verb	to wash, to clean	no sentence available	no sentence available
limpiar	transitive verb	to clean, to cleanse	no sentence available	no sentence available
modificar	transitive verb	to modify, to alter, to adapt	no sentence available	no sentence available
obedecer	transitive verb	to obey	obedecer órdenes	to obey orders
ocultar	transitive verb	to conceal, to hide	no sentence available	no sentence available
padecer	transitive verb	to suffer (hardship, etc.), to suffer from (an illness)	no sentence available	no sentence available
parecer	intransitive verb	to seem, to look, to appear to be	parece fácil	it looks easy
pasear	intransitive verb	to take a walk, to go for a ride	no sentence available	no sentence available
pelear	intransitive verb	to fight	no sentence available	no sentence available
penetrar	intransitive verb	to penetrate, to sink in	el frío penetra por la ventana	the cold comes right in through the window
percibir	transitive verb	to perceive, to notice, to sense	no sentence available	no sentence available
perdonar	transitive verb	to forgive, to pardon	¿me perdonas?	do you forgive me?
precisar	transitive verb	to specify, to determine exactly	no sentence available	no sentence available
prohibir	transitive verb	to prohibit, to ban, to forbid	prohibido fumar	no smoking
prometer	transitive verb	to promise	¿me lo prometes?	(do you) promise?
proporcionar	transitive verb	to provide, to give	les proporcionó la información	she provided them with the information
provenir	intransitive verb	to come from	no sentence available	no sentence available
quemar	transitive verb	to burn (wood, letters, etc.), to burn down (a building)	te ha quemado el sol	you have a sunburn
reaccionar	intransitive verb	to react, to respond	no sentence available	no sentence available
reclamar	transitive verb	to demand, to require	no sentence available	no sentence available
recomendar	transitive verb	to recommend	no sentence available	no sentence available
recurrir	intransitive verb	to turn to, to appeal to	no sentence available	no sentence available
regalar	transitive verb	to present (as a gift), to give away	no sentence available	no sentence available
registrar	transitive verb	to register, to record	no sentence available	no sentence available
relacionar	transitive verb	to relate, to connect	no sentence available	no sentence available
rendir	transitive verb	to render, to give	rendir las gracias	to give thanks
renunciar	intransitive verb	to resign	renunció al título	he relinquished the title
reproducir	transitive verb	to reproduce	no sentence available	no sentence available
respirar	verb	to breathe	no sentence available	no sentence available
revelar	transitive verb	to reveal, to disclose	no sentence available	no sentence available
revisar	transitive verb	to examine, to inspect, to check	no sentence available	no sentence available
saber	transitive verb	to know	no lo sé	I don't know
saludar	transitive verb	to greet, to say hello to	no sentence available	no sentence available
satisfacer	transitive verb	to satisfy	no sentence available	no sentence available
sobrevivir	intransitive verb	to survive	no sentence available	no sentence available
soñar	intransitive verb	to sound	suena bien	it sounds good
sospechar	transitive verb	to suspect	no sentence available	no sentence available
sumar	transitive verb	to add, to add up	no sentence available	no sentence available
suspender	transitive verb	to suspend, to hang	no sentence available	no sentence available
sustituir	transitive verb	to replace, to substitute for	no sentence available	no sentence available
traducir	transitive verb	to translate	no sentence available	no sentence available
transcurrir	intransitive verb	to elapse, to pass	no sentence available	no sentence available
ubicar	transitive verb	to place, to put, to position	no sentence available	no sentence available
abandonado	adjective	abandoned, deserted	no sentence available	no sentence available
absurdo	adjective	absurd, ridiculous	no sentence available	no sentence available
abundante	adjective	abundant, plentiful	no sentence available	no sentence available
académico	adjective	academic, scholastic	no sentence available	no sentence available
adulto	adjective & noun	adult	no sentence available	no sentence available
agresivo	adjective	aggressive	no sentence available	no sentence available
agudo	adjective	sharp (of a point, etc.)	un dolor agudo	a sharp pain
alegre	adjective	glad, cheerful	no sentence available	no sentence available
amable	adjective	kind, nice	no sentence available	no sentence available
anónimo	adjective	anonymous	no sentence available	no sentence available
apropiado	adjective	appropriate, proper, suitable	no sentence available	no sentence available
árabe	adjective & masculine or feminine noun	Arab, Arabian	no sentence available	no sentence available
artificial	adjective	artificial, man-made	no sentence available	no sentence available
atractivo	adjective	attractive	no sentence available	no sentence available
básico	adjective	basic	no sentence available	no sentence available
caído	adjective	fallen	no sentence available	no sentence available
cansado	adjective	tired	estar cansado	to be tired
característico	adjective	characteristic	no sentence available	no sentence available
católico	adjective & noun	Catholic	no sentence available	no sentence available
compuesto	adjective	fixed, repaired	no sentence available	no sentence available
comunista	adjective & masculine or feminine noun	communist	no sentence available	no sentence available
considerable	adjective	considerable	no sentence available	no sentence available
creciente	adjective	growing, increasing	no sentence available	no sentence available
cruel	adjective	cruel	no sentence available	no sentence available
cuadrado	masculine noun	square	elevar al cuadrado	to square (a number)
culpable	adjective	guilty	no sentence available	no sentence available
definido	adjective	definite, well-defined	no sentence available	no sentence available
democrático	adjective	democratic	no sentence available	no sentence available
desagradable	adjective	unpleasant, disagreeable	no sentence available	no sentence available
desesperado	adjective	desperate, despairing, hopeless	no sentence available	no sentence available
desierto	adjective	deserted, uninhabited	no sentence available	no sentence available
desnudo	adjective	nude, naked, bare	no sentence available	no sentence available
distante	adjective	distant, far-off	no sentence available	no sentence available
doloroso	adjective	painful	no sentence available	no sentence available
dramático	adjective	dramatic	no sentence available	no sentence available
ejemplar	adjective	exemplary, model	no sentence available	no sentence available
equivocado	adjective	mistaken, wrong	no sentence available	no sentence available
específico	adjective	specific	no sentence available	no sentence available
espontáneo	adjective	spontaneous	no sentence available	no sentence available
estricto	adjective	strict, severe	no sentence available	no sentence available
excepcional	adjective	exceptional, extraordinary, rare	no sentence available	no sentence available
exclusivo	adjective	exclusive	no sentence available	no sentence available
extenso	adjective	extensive, detailed	no sentence available	no sentence available
externo	adjective	external, outward	no sentence available	no sentence available
fantástico	adjective	fantastic, imaginary, unreal	no sentence available	no sentence available
favorable	adjective	favorable	no sentence available	no sentence available
feo	adjective	ugly	un olor feo	a nasty smell
formal	adjective	formal	no sentence available	no sentence available
fresco	masculine noun	coolness	al fresco	in the open air, outdoors
generoso	adjective	generous, unselfish	no sentence available	no sentence available
gordo	adjective	fat	me cae gorda tu tía	I can't stand your aunt
gris	adjective	gray	no sentence available	no sentence available
grueso	adjective	thick, bulky	no sentence available	no sentence available
humilde	adjective	humble	gente humilde	poor people
idéntico	adjective	identical, alike	no sentence available	no sentence available
impresionante	adjective	impressive, incredible, amazing, shocking (of video, etc.), horrific (of an accident, etc.)	no sentence available	no sentence available
indígena	adjective	indigenous, native	no sentence available	no sentence available
industrial	adjective	industrial	no sentence available	no sentence available
infinito	adverb	infinitely, vastly	no sentence available	no sentence available
injusto	adjective	unfair, unjust	no sentence available	no sentence available
japonés	adjective & noun	Japanese	los japoneses	the Japanese (people)
judío	adjective	Jewish	no sentence available	no sentence available
legal	adjective	legal, lawful	no sentence available	no sentence available
liberal	adjective & masculine or feminine noun	liberal	no sentence available	no sentence available
masculino	adjective	masculine, male	no sentence available	no sentence available
mero	adverb	nearly, almost	ya mero me caí	I almost fell
modesto	adjective	modest	no sentence available	no sentence available
moreno	adjective	brunette	no sentence available	no sentence available
mutuo	adjective	mutual, reciprocal	no sentence available	no sentence available
obrero	adjective	working	la clase obrera	the working class
occidental	adjective	western	no sentence available	no sentence available
oculto	adjective	hidden, concealed	no sentence available	no sentence available
ordenado	adjective	orderly, neat	no sentence available	no sentence available
ordinario	adjective	ordinary	no sentence available	no sentence available
orgulloso	adjective	proud	no sentence available	no sentence available
parado	adjective	motionless, idle, stopped	estar parado	to stand, to be standing
paralelo	adjective	parallel	no sentence available	no sentence available
pintado	adjective	spotted	no sentence available	no sentence available
primitivo	adjective	primitive	no sentence available	no sentence available
querido	adjective	dear, beloved	no sentence available	no sentence available
razonable	adjective	reasonable	no sentence available	no sentence available
remoto	adjective	remote, unlikely	hay una posibilidad remota	there is a slim possibility
repetido	adjective	repeated, numerous	no sentence available	no sentence available
resuelto	adjective	determined, resolved, resolute	no sentence available	no sentence available
rígido	adjective	rigid, stiff	no sentence available	no sentence available
romántico	adjective	romantic	no sentence available	no sentence available
ruso	adjective & noun	Russian	no sentence available	no sentence available
salvaje	adjective	wild	animales salvajes	wild animals
secundario	adjective	secondary	no sentence available	no sentence available
sensible	adjective	sensitive	no sentence available	no sentence available
solitario	adjective	lonely	una calle solitaria	a deserted street
sorprendente	adjective	surprising	no sentence available	no sentence available
sucesivo	adjective	successive	en los días sucesivos	in the days that followed
tonto	adjective	dumb, stupid	no sentence available	no sentence available
uniforme	adjective	uniform	no sentence available	no sentence available
universitario	adjective	university, college	no sentence available	no sentence available
urbano	adjective	urban	no sentence available	no sentence available
urgente	adjective	urgent	no sentence available	no sentence available
válido	adjective	valid	no sentence available	no sentence available
valioso	adjective	valuable, precious	no sentence available	no sentence available
variado	adjective	varied, diverse	no sentence available	no sentence available
visible	adjective	visible	no sentence available	no sentence available
acá	adverb	here, over here	¡ven acá!	come here!
actualmente	adverb	at present, nowadays	no sentence available	no sentence available
adentro	adverb	in, inside	fuimos adentro	we went inside
necesariamente	adverb	necessarily	no sentence available	no sentence available
normalmente	adverb	ordinarily, generally	no sentence available	no sentence available
plenamente	adverb	fully, completely	no sentence available	no sentence available
posteriormente	adverb	subsequently	no sentence available	no sentence available
principalmente	adverb	mainly, chiefly	no sentence available	no sentence available
sencillamente	adverb	simply, plainly	no sentence available	no sentence available
sumamente	adverb	extremely, exceedingly	no sentence available	no sentence available
últimamente	adverb	lately, recently	no sentence available	no sentence available
ay	interjection	oh!	no sentence available	no sentence available
etcétera	masculine or feminine noun	et cetera	no sentence available	no sentence available
colega	masculine or feminine noun	colleague	no sentence available	no sentence available
comerciante	masculine or feminine noun	merchant, dealer	no sentence available	no sentence available
guía	feminine noun	directory, guidebook	la conciencia me sirve como guía	conscience is my guide
líder	adjective	leading, foremost	no sentence available	no sentence available
pariente	masculine or feminine noun	relative, relation	no sentence available	no sentence available
abuela	feminine noun	grandmother	no sentence available	no sentence available
actualidad	feminine noun	present time	en la actualidad	at present
administración	feminine noun	administration, management	no sentence available	no sentence available
admiración	feminine noun	admiration	no sentence available	no sentence available
afirmación	feminine noun	statement	no sentence available	no sentence available
ambición	feminine noun	ambition	no sentence available	no sentence available
amenaza	feminine noun	threat	amenazas de muerte/bomba	death/bomb threats
anécdota	feminine noun	anecdote	no sentence available	no sentence available
aplicación	feminine noun	application	no sentence available	no sentence available
asociación	feminine noun	association, relationship	no sentence available	no sentence available
atmósfera	feminine noun	atmosphere	no sentence available	no sentence available
banda	feminine noun	band, strip	banda transportadora	conveyor belt
bandera	feminine noun	flag, banner	no sentence available	no sentence available
botella	feminine noun	bottle	no sentence available	no sentence available
broma	feminine noun	joke, prank	le hizo una broma	she played a joke on him
calma	feminine noun	calm, quiet	no sentence available	no sentence available
camisa	feminine noun	shirt	no sentence available	no sentence available
casualidad	feminine noun	chance	no sentence available	no sentence available
caza	feminine noun	hunt, hunting	no sentence available	no sentence available
ceremonia	feminine noun	ceremony	sin ceremonias	informal/informally, without ceremony
cita	feminine noun	quote, quotation	no sentence available	no sentence available
civilización	feminine noun	civilization	no sentence available	no sentence available
colonia	feminine noun	colony	no sentence available	no sentence available
combinación	feminine noun	combination	no sentence available	no sentence available
comisión	feminine noun	commission, committing	comisión sobre las ventas	sales commission
comodidad	feminine noun	comfort	no sentence available	no sentence available
concepción	feminine noun	conception	no sentence available	no sentence available
conferencia	feminine noun	conference, meeting	no sentence available	no sentence available
consulta	feminine noun	consultation	no sentence available	no sentence available
contradicción	feminine noun	contradiction	no sentence available	no sentence available
convicción	feminine noun	conviction	no sentence available	no sentence available
copa	feminine noun	wineglass, goblet	irse de copas	to go out drinking
copia	feminine noun	copy	no sentence available	no sentence available
creencia	feminine noun	belief	no sentence available	no sentence available
criatura	feminine noun	baby, child	no sentence available	no sentence available
cuerda	feminine noun	cord, rope, string	no sentence available	no sentence available
dama	feminine noun	lady	no sentence available	no sentence available
